article_id,reference_summary
NEWS_0001,"In 1977 director Roman Polanski pleaded guilty to having sex with a 13-year-old girl .
He has lived in France for decades to avoid arrest if he enters the U.S.
Oscar winner was arrested en route to Zurich Film Festival, which was honoring him .
Polanski won Oscar for best director for ""The Pianist;"" did not collect it in person ."
NEWS_0002,"John Singleton's vehicle strikes woman, 57, who stepped into street .
Singleton sober, not charged, allowed to leave after questioning .
Director nominated for two Oscars for ""Boyz N the Hood"""
NEWS_0003,"Some industry heavy hitters support Roman Polanski after his arrest .
Many in the international film community continue to hail him as a hero .
Polanski has remained a Hollywood insider while living as a fugitive .
Film festival president: ""We hope today that this latest order will be dropped"""
NEWS_0004,"Forbes crowns American investor Warren Buffett as world's richest person .
After 13 years on top, Microsoft's Bill Gates drops to number three position .
Russia replaces Germany as No. 2 country with 87 billionaires .
Facebook founder Mark Zuckerberg may be youngest self-made billionaire in history ."
NEWS_0005,"Mat Kearney enjoys growing success; new album is ""City of Black & White""
Kearney has earned airplay on TV, including ""Grey's Anatomy""
Kearney likes juxtaposition of personal lyrics, big musical sound ."
NEWS_0006,"Actor Derek Mears takes on role of Jason in new ""Friday the 13th""
Actor heard from producers that he was a popular casting choice .
Of iconic role, Mears says he tried to ""definitely make it my own"""
NEWS_0007,"The FBI reports nearly 3,200 account hijacking cases since 2006 .
Online scam losses amounting to $264.6 million reported in 2008 .
Facebook has automated systems that detect compromised accounts .
MySpace.com creates blacklists of phony accounts ."
NEWS_0008,"""Every three minutes"" statistic made Witherspoon feel ""vulnerable"" and ""scared""
Oscar-winning actress: Young women are not exempt from the disease .
Witherspoon emphasizes importance of early detection and regular screenings ."
NEWS_0009,"NEW: Officials say the death toll in grenade attack is up to 40 .
President Felipe Calderon responds to attack via his Twitter account .
Grenade attack reported at a casino in Monterrey, in northeastern Mexico .
Up to 30 people thought trapped in the casino because of debris ."
NEWS_0010,"Florence-born fashion designer Roberto Cavalli is known for his bright, sexy clothes .
He is the grandson of Impressionist painter Giuseppe Rossi and the son of a tailor .
His clothes are adored by celebrities like Gwyneth Paltrow and Victoria Beckham .
Cavalli's extravagant lifestyle includes color-coordinated yacht, cars and helicopter ."
NEWS_0011,"Obama thanks youth for helping inspire, energize ""improbable journey""
Obama says at military ball there is ""no greater honor"" than being commander .
Michelle Obama wears silk chiffon Jason Wu gown with crystal rhinestones .
Celebrities attending include Beyoncé, Jay-Z, Faith Hill ."
NEWS_0012,"Senate Foreign Relations Committee hears testimony on quake-ravaged nation .
Actor Sean Penn founded aid agency in Haiti .
He and others urged U.S. donors to ask for transparency ."
NEWS_0013,"Here's how to squeeze the most performance out of your older computer .
It may be your software that's slow, not your computer; check for updates .
Move as many of your activities, such as e-mail, to the Web as possible .
If you're still using Internet Explorer, stop! You're better off with a newer build of Firefox ."
NEWS_0014,"Actor Robert Duvall first worked with Francis Ford Coppola 40 years ago .
He starred in Oscar-winners ""The Godfather,"" and ""The Godfather: Part II""
Immortalized ""I love the smell of napalm in the morning in ""Apocalypse Now""
Duvall on Coppola: ""A talented maniac. No, not a maniac, a talented, driven guy"""
NEWS_0015,"Gary Coleman arrested in Utah County, Utah; actor had outstanding warrant .
Coleman could get out of jail by posting $1,725 bail, police say .
Police: Actor's home visited in response to civil disturbance call, but no criminal charges filed ."
NEWS_0016,"Stuart Hughes is known for his expensive remakes of popular gadgets .
Only two of these iPhone 4s will ever be made .
The device has a price tag of 5 million pounds, or roughly $8 million ."
NEWS_0017,"Luciano Pavarotti widely considered the greatest tenor of his time .
The Italian's charisma and bravura style attracted a new audience to opera .
Singer retired from staged opera in 2004; diagnosed with cancer in 2006 ."
NEWS_0018,"Nigerian musician Femi Kuti is son of Afrobeat pioneer Fela Kuti .
Inherited his father's passion for music and political activism .
Nightclub in Lagos recently closed by authorities; remains politically outspoken ."
NEWS_0019,"Harrison's star next to Hollywood headquarters of Capitol Records .
Harrison, who died of cancer in 2001, is second Beatle with star after John Lennon .
Some fans travel from as far as Liverpool, England for dedication of Harrison's star .
Harrison penned many Beatles songs before launching successful solo career ."
NEWS_0020,"Oscar cancellation would have cost the industry an estimated $400m .
Limo drivers, caterers, make-up artists would be among worst hit .
Jewelry designers like Chopard generate $1m in publicity on Oscars night .
Films which achieve success on the night can expect box office cash injection ."
NEWS_0021,"Actress Selma Blair wore huge prosthetic boobs for a John Waters movie .
She's gained at least 15 pounds for her role on ""Kath and Kim""
She considered Botox but says she doesn't have enough wrinkles for it yet .
Blair experimented with three completely different looks in less than a year ."
NEWS_0022,"Baz Luhrmann's early cinema style is known as ""The Red Curtain""
A striking and highly visual and theatrical style exemplified in ""Moulin Rouge!""
His new epic film ""Australia"" is a departure from this cinema style ."
NEWS_0023,"Mandy Moore's new album is ""Amanda Leigh,"" her given name .
Moore has gone indie route with new album, happy to be on that path .
Freshly married to Ryan Adams, singer looks forward to new things -- like metal?"
NEWS_0024,"American Medical Association Alliance wants films with smoking to be rated R .
AMAA says that kids who watch smoking often turn to habit .
Hollywood rating organization says smoking in movies has declined ."
NEWS_0025,"Natalie Cole underwent kidney transplant surgery Tuesday .
Singer has been receiving kidney dialysis since September .
Grammy-winning Cole scheduled a tour for CD ""Still Unforgettable"""
NEWS_0026,"Propofol, generic name of Diprivan, reportedly found in Michael Jackson's home .
DEA spokesman: ""We've been looking into it for the past two years""
Spokesman says inquiry hasn't been affected by singer's cardiac arrest death .
Propofol is administered intravenously in operating rooms as a powerful anesthetic ."
NEWS_0027,"Half-Mongolian, half-Chinese musician mixes ethnic influences with chill-out beats .
First album sold over 2 million copies in South East Asia .
Deemed too controversial by Glastonbury Festival and dropped from line-up ."
NEWS_0028,"Many domestic airlines have begun offering Wi-Fi Internet access aboard planes .
Provider Aircell expects to have 1,200 planes equipped by the end of this year .
Another company, Row 44, says it will have trans-Atlantic Wi-Fi in the third quarter ."
NEWS_0029,"Microsoft founder Bill Gates talks to CNN's Wolf Blitzer .
Gates says Obama should craft a wide-ranging stimulus package .
He also wants Obama to increase investments in education, technology .
""Spending is the only way we'll ever come out of this downturn,"" he says ."
NEWS_0030,"When you're inside the theater, the whole show seems to work, and you feel part of it .
Stagehands guide the changing of the sets during the commercial breaks .
Seeing five Best Actors presenting Oscars on the same stage was pretty amazing .
The Oscars can still astonish -- they still know how to put on the big musical number ."
NEWS_0031,"Developing a personal brand can be a great strategy for job seekers .
A personal brand is what makes you stand out .
Decide what you want your personal brand to say about you .
The Internet is a good place to establish both visibility and a strong personal brand ."
NEWS_0032,"Wu-Tang producer: Attempted murder conviction also could have derailed band .
Rapper/producer/actor RZA talks of forming Wu-Tang Clan in upcoming memoir .
RZA: Ol' Dirty Bastard made son watch him do drugs before 2004 fatal overdose .
Book cites lessons from Christianity, Islam, numerology, kung fu, chess ."
NEWS_0033,"James Cameron's ""Avatar"" had its world premiere in London yesterday .
The 3D sci-fi epic goes on public release worldwide on December 18 .
Read what the critics have said said so far ."
NEWS_0034,"Minnesota couple instant stars after YouTube wedding video goes viral .
Dancing wedding party garners fans, draws media attention .
Fellow YouTube star says attention ""can be a bit much to handle""
Popularity of video has also sparked interest in the Chris Brown tune featured ."
NEWS_0035,"Academy sues Arizona-based company over sales of Oscar packages .
Tickets to lavish movie awards show cannot be transferred or sold, Academy says .
Package includes four tickets to 81st annual Academy Awards, L.A. hotel stay .
Selling tickets could become a security issue, according to lawsuit ."
NEWS_0036,"""The Haunting in Connecticut"" had a successful opening weekend at box office .
Virginia Madsen, who stars in film, likes ""things that go bump in the night""
Madsen, best known for ""Sideways,"" took motherly role over young co-stars ."
NEWS_0037,"The soundtrack to the film is for those hardcore fans .
There's no ""Jeremy,"" ""Daughter"" or ""Even Flow"" here .
The emotional high point may be ""Crown of Thorns,"" from a gig in 2000 ."
NEWS_0038,"Montalban's health was deteriorating, but he ""died peacefully"" in his home .
Montalban rose to fame as one of MGM's most visible Hispanic actors in 1950s .
The Mexican-born actor was best known for his roles on ""Fantasy Island,"" ""Star Trek""
Montalban was dedicated to changing Hollywood's stereotypes of Latinos ."
NEWS_0039,"The Spanish actor said he's excited about the role .
""So to play that is going to be fun,"" Bardem said .
""I cannot give you many details,"" he said ."
NEWS_0040,"Google announces Google Voice, a phone service over the Internet .
The service offers ""speech-to-text"" transcriptions of voice messages .
Head of Google Voice: company plans to offer service for free .
Public users sign up for service starting in ""a number of weeks"""
NEWS_0041,"Troubled singer found not guilty of hitting woman at charity ball in September .
Amy Winehouse pleaded not guilty to the charge of common assault in March .
Winehouse's divorce from Blake Fielder-Civil should be made final next month ."
NEWS_0042,"One high-profile film producer has fired hundreds of personal assistants .
Naomi Campbell's treatment of her employees has landed her in court .
And would you really want to answer to Simon Cowell or Al Capone?"
NEWS_0043,"Internet-connected TV is idea that's finally ripe for consumer adoption .
In past, Steve Jobs has denied that Apple was planning to enter the cell phone or tablet markets .
His deflections are smart tactic that allows company to fool competitors ."
NEWS_0044,"Joshua Radin's new album is ""Simple Times""
Radin, a friend of Zach Braff, had songs played on ""Scrubs""
Ellen DeGeneres liked one tune, asked Radin to play her wedding ."
NEWS_0045,"Nanci Griffith's new album is ""The Loving Kind""
Grammy-winning singer with crystalline voice had long dry stretch in '00s .
Election of Obama, better health has her in upbeat mood ."
NEWS_0046,"NEW: Doctor was ""present during the search of his home,"" attorney says .
Investigators search Dr. Conrad Murray's Las Vegas home, office .
Murray allegedly gave Jackson propofol in the 24 hours before death, source says .
Source close to family says doctor administered drug believed to have killed singer ."
NEWS_0047,"Colorado officer uses cell-phone monitoring software to catch sexual predators .
Investigator has made at least 44 arrests with the help of the service .
Software is increasingly popular with parents as more kids carry cell phones .
Service provides parents with online record of kids' calls, texts and shared photos ."
NEWS_0048,"Susan Atkins held Sharon Tate down and stabbed the pregnant actress 16 times .
Parole hearing was the 13th for Atkins, who is battling terminal brain cancer .
The panel set another hearing for Atkins in three years ."
NEWS_0049,"The International Animated Film Festival in Annecy is the Cannes of animation .
Festival highlights the best in animation, from student work to studio shorts .
Experts say the future of animation is on mobile devices ."
NEWS_0050,"""Sex and the City"" actress Kristin Davis says women need strong shoes .
The actress says her new fashion line fits different types of bodies .
She says ""Sex"" movie sequel will have characters spending less .
Green will be the hot color in the latest movie, Davis says ."
NEWS_0051,"By 2020, experts believe virtual worlds will be widespread .
Online worlds could replace Facebook as most popular Internet phenomenon .
Experts say young users could lead spartan lives offline, luxurious lives online .
But Star Trek-style fully-interactive holodecks still some way off ."
NEWS_0052,"NEW: ""Smile Pinki"" wins best short documentary Oscar .
Pinki Sonkar was born with cleft lip; her family in India couldn't afford surgery .
Smile Train charity provided operation; 4 million children worldwide have cleft lips .
Pinki, once an outcast because of the deformity, will attend the Oscar ceremony ."
NEWS_0053,"Yusuf, formerly Cat Stevens, has new album: ""Roadsinger""
After big success in '70s, he converted to Islam, shut down career for a time .
""I'm very much an optimist,"" Yusuf says ."
NEWS_0054,"Michael Jackson to be buried Thursday, September 3, at Forest Lawn .
Singer originally scheduled to be buried August 29; no reason given for change .
Jackson movie drawing on concert footage will open October 28 ."
NEWS_0055,"This is the second best opening ever for a movie fronted by Dwayne Johnson .
""Watchmen"" dropped a hefty 67 percent from its big opening last weekend .
""The Last House on the Left"" came in at No. 3 with an anticipated $14.7 million .
See what other movies made the box office top 10 ."
NEWS_0056,"Grammy-winning trumpeter long fought heart disease, spokesman says .
Hubbard played with major jazz figures including Art Blakey and Herbie Hancock .
Hubbard was named a National Endowment for the Arts Jazz Master in 2006 ."
NEWS_0057,"Quentin Tarantino's new film, ""Inglourious Basterds,"" playing Cannes .
Heath Ledger's last film, ""The Imaginarium of Dr. Parnassus,"" also to be shown .
Pixar's ""Up"" to open famed French festival, which begins Wednesday ."
NEWS_0058,"Actress said she had sexual relationship with her father for years .
Experts: Incest is one of the most under-reported and least discussed crimes .
Real healing after incest is possible, Phillips says ."
NEWS_0059,"Drew Olanoff has placed his Twitter username up for auction to benefit charity .
Drew Carey said he'd donate $1 million if he gets 1 million followers by Dec. 31 .
Olanoff never expected his auction to get attention from other Drews like Carey .
The L.A.-based blogger is also behind the @BlameDrew'sCancer username ."
NEWS_0060,"""Angels & Demons,"" new Ron Howard film, based on Dan Brown novel .
Brown's ""Da Vinci Code"" was controversial book made into controversial film .
Howard believes Vatican holds grudge; priest says Church barely aware of ""Angels"""
NEWS_0061,"On ""Follow Friday,"" CNN.com recommends Twitter feeds on a news topic .
This week's topic: The U.S. debate over health care .
SusannahFox comments on health care and social media .
kevinmd posts insights from his life as a physician ."
NEWS_0062,"Heidi Newfield is up for five Academy of Country Music Awards .
Newfield pursuing solo career after being lead singer of Trick Pony .
Singer doesn't want to be a diva but takes advice about not being so nice ."
NEWS_0063,"Sketchbook of Pablo Picasso drawings missing from Paris museum, officials say .
Special unit that combats the trade in stolen cultural artifacts was notified .
The artist used the sketchbook between 1917 and 1924 .
Description: Red varnished cover with ""Album"" inscription, 6-by-9 inches ."
NEWS_0064,"Peter Cincotti had hit jazz album, now has album of pop songs .
Native New Yorker insisted Angeleno David Foster come to N.Y. to produce .
Cincotti started playing piano when he was 3; an early influence was Jerry Lee Lewis ."
NEWS_0065,"Singer Mary J. Blige stars in new Tyler Perry film ""I Can Do Bad All By Myself""
Film allows Blige to test acting chops and sing as well as owner of club .
""I was definitely nervous, because acting is not my first profession,"" Blige says .
Blige: Movie is about redemption, saving yourself and healing from wounds ."
NEWS_0066,"Larry was 9 years old when his father died of a heart attack in 1943 .
Larry says he has blocked much of that day from his memory .
He recalls a police officer broke the news, then took him to see a movie .
Larry refused to attend funeral though he and his father were extremely close ."
NEWS_0067,"Maintaining Apple's rapid growth will be a big challenge for new CEO Tim Cook .
Cook must keep driving product development and Apple's logistics revolution .
Apple could end up shipping more than 175 million gadgets this year .
Cook is expected to unveil a new iPhone Tuesday in California ."
NEWS_0068,"Jack Wagner discovered earlier this month that he has a long-lost 23-year-old daughter .
The girl, named Carrie, introduced herself to Wagner backstage at a concert .
Reports say Carrie, who was given up for adoption as an infant ."
NEWS_0069,"Watch continuing earthquake coverage on CNN .
Read Twitter feeds to stay up to date on the latest in Haiti .
Read CNN.com's complete special coverage of the latest developments in Haiti ."
NEWS_0070,"Save the Children spokesman: Children should be raised by extended family .
Celebrities, groups best help children by supporting their communities, he says .
Madonna is trying to adopt a girl from Malawi ."
NEWS_0071,"Joan Rivers wins this season's ""Celebrity Apprentice""
Rivers goes up against poker champion Annie Duke in finale .
Duke raises more money at her event, but Rivers is able to attract more celebrities .
The victory means $250,000 for Rivers' charity ."
NEWS_0072,"Author: John Lennon never meant ""more popular than Jesus"" comment to offend .
Lennon never actually retracted the controversial remark .
Vatican newspaper paid tribute to the Beatles on 40th anniversary of ""White Album""
Beatles author says band were a ""spiritual force"" themselves ."
NEWS_0073,"NEW: Blagojevich declines comment, says ""I'm enjoying Disney World with my kids""
Blagojevich faces up to 20 years in prison for each of 15 most serious charges .
Officials going after his home, saying he bought it with illegally-earned money .
Charges against him include wire fraud, making false statements ."
NEWS_0074,"Star's sister Janet will help open MTV awards show, in celebration of his life .
Fans can also preview documentary online .
Film will be shown worldwide for two weeks starting in October ."
NEWS_0075,"Films full of life-affirming moments include ""Casablanca,"" ""Silent Running""
""It's a Wonderful Life"" tops list from ""The Screening Room""
List by no means complete; send us yours ."
NEWS_0076,"Saudi king overturns journalist's sentence of 60 lashes, two-year travel ban .
Female journalist worked on controversial TV show on sexual taboos .
Saudi man was sentenced to five years in jail, 1,000 lashes for his role in show .
Human Rights Watch.calls on King Abdullah to overturn that sentence too ."
NEWS_0077,"EMI, the music label that owns studios, says it's holding talks for revitalizing them .
Composer Andrew Lloyd Webber had expressed interest in buying studios .
Beatles made studios famous with album ""Abbey Road""
Much of Britain's best known music of 20 century has been recorded there ."
NEWS_0078,"Benicio Del Toro stars in ""Che,"" a biopic of the Latin American revolutionary .
His performance is generating Oscar buzz in Hollywood .
Directed by Steven Soderbergh, the two-part film is more than four hours long .
Del Toro on Che: His life ""is what movies are made of"""
NEWS_0079,"Heidi Pratt was rushed to a hospital in Costa Rica for undisclosed illness .
Pratt is currently appearing on ""I'm a Celebrity... Get Me Out of Here""
Pratt had blamed ""the devil"" for wanting to leave show earlier in week ."
NEWS_0080,"Paul Shaffer: The David Letterman viewers see on air is who he really is .
Shaffer's new memoir has stories of ""Saturday Night Live,"" Letterman .
Shaffer was offered chance to play Jerry Seinfeld sidekick at one point .
Bandleader legendary for his ""Celebrity Seders"""
NEWS_0081,"Jamal Bana had been missing for months; family learns of his death via Internet .
Death is part of wider federal inquiry of terror recruiting by Somali group in U.S.
Imam of Minneapolis mosque says terror recruiters are not at his mosque .
Two men charged in U.S. with providing material support to terrorists ."
NEWS_0082,"Michelle May, an American and Irish national, had been to Iran before .
Basij picked up May after she looked at news at an Internet cafe .
May: 'I immediately started screaming, saying no, no, no'"
NEWS_0083,"NEW: At concert, Michelle Obama urges young people to get involved now .
Concert features the Jonas Brothers, Miley Cyrus, Bow Wow and Demi Lovato .
Billy Ray Cyrus, Keke Palmer and Usher make introductions .
Did you miss the show? It's available later on Disney.com ."
NEWS_0084,"Director Antoine Fuqua is filmmaker behind CNN's ""From MLK to Today""
Fuqua discusses life, experiences with racism and the hope Barack Obama brings .
Fuqua, director of ""Training Day,"" compares Obama with Denzel Washington .
Fuqua's latest feature-length project, ""Brooklyn's Finest,"" screened at Sundance fest ."
NEWS_0085,"EW: ""The Proposal"" is a top-notch romantic comedy .
Movie adheres to formula, but it's well done, very funny .
Casting is perfect, script delivers ."
NEWS_0086,"Complaints about iPhone 4S battery life mount .
Some iPhone owners say their batteries drain much faster than advertised .
Apple has not publicly acknowledged the concerns .
Comments on a post on Apple's support forums go for 185 pages ."
NEWS_0087,"Brad Paisley fell off stage during a performance in South Carolina .
Singer says he was ""running fast,"" tripped and took a tumble .
After being treated at a local hospital, he tweeted he was fine, just ""very bruised"""
NEWS_0088,"Third Day is first Christian rock band to make cover of Billboard .
The musicians are determined to give fans ""a good value""
New tour for Grammy-winning band begins March 5 ."
NEWS_0089,"The killer of ""Harry Potter"" actor jailed for life, must serve at least 20 years .
Karl Bishop, 22, attacked Rob Knox with 2 knives in southeast London last May .
Knife crime in Britain is political hot topic due to spate of recent killings ."
NEWS_0090,"A hacker allegedly broke into a Twitter administrator's personal e-mail account .
The hacker stole Twitter financial documents and leaked them to several blogs .
Web is abuzz with opinions on the hacking's impact and the ethics of posting the info .
Twitter says it is seeking legal counsel on the matter ."
NEWS_0091,"Celebrities, statesmen gather in London to celebrate Mandela's 90th birthday .
Mandela at outdoor concert in his honor in London's Hyde Park .
Crowd of 46,664 sing ""Happy Birthday"" led by Will Smith .
Performers include Amy Winehouse, Queen, Annie Lennox, Simple Minds ."
NEWS_0092,"Oscar-winning composer scored the soundtrack for 'Slumdog Millionaire'
Began work as a 13-year-old to support family after his father died .
Will continue to score films in India and Hollywood; runs music school in Chennai ."
NEWS_0093,"Lil Wayne was arrested in July 2007 on weapons charge .
Hip-hop artist pleaded guilty to reduced charge Thursday; sentencing due in February .
Lil Wayne launched solo career at age 16 with release of ""Tha Block is Hot"" in 1999 .
He won two BET Awards in 2007 and four Grammy Awards in 2009 ."
NEWS_0094,"Josh Rouse has fans among other songwriters .
""Love Vibration"" singer has no hits, but songs in TV shows, movies .
What's next? ""Afro-Brazilian record in Spanish"""
NEWS_0095,"Sarah Palin reacts to 'Family Guy' creator for jokes about Down syndrome .
President Obama to meet with Dalai Lama despite protests from China .
Carly Simon hosts music video contest, but doesn't reveal who is ""so vain"""
NEWS_0096,"Some people who became famous, tried their hand at teaching first .
President Lyndon Johnson taught public speaking, coached debate team .
Art Garfunkel was teaching math when ""Bridge Over Troubled Water"" became a hit .
Authors Stephen King and J.K. Rowling and singer Sting all taught English ."
NEWS_0097,"Tom Hanks stars in ""Angels & Demons,"" a sequel to ""The Da Vinci Code""
Fellow cast mate Ewan McGregor says latest film is a standalone .
Like earlier film, ""Angels & Demons"" has been attacked for mix of fact and fiction .
Catholic League president: ""It's all a lie"""
NEWS_0098,"Jeffrey Wright: President Obama catches flak for remarks on professor's arrest .
Wright applauds Obama for having courage to speak his mind .
Actor says he too was victim of arrest in which race played a part .
He says political leaders need to address race and policing ."
NEWS_0099,"""Watchmen"" premiered in more theaters than any other R-rated movie in history .
Tyler Perry's ""Madea Goes to Jail"" (No. 2) grossed another $8.8 million .
Best Picture winner ""Slumdog Millionaire"" took the No. 4 slot with $6.9 million ."
NEWS_0100,"The Game records ""Better on the Other Side"" as tribute to Michael Jackson .
Rapper greatly admired star; Jackson tried to mediate between Game and 50 Cent .
Game: ""He's iconic to me, and his untimely demise is felt around the world"""
NEWS_0101,"""Grey's Anatomy"" actress Katherine Heigl has own production company .
Star of hit movie Knocked Up"" is getting married .
Doesn't go without makeup for fear of ugly photographs .
Says shopping for wedding dress is ""grueling"""
NEWS_0102,"This month Art of Life looks at motorbike, planes, DJs and Rock idols .
Monita visits the Ducati factory in Bologna, meets Moto champ Casey Stoner .
Iron Maiden singer Bruce Dickinson talks about his passion for flying .
DJ Paul Van Dyk takes us on a tour of his favorite parts of Berlin ."
NEWS_0103,"Defcon is a forum to share info on vulnerabilities in software and hardware .
Attendees worried about using Wi-Fi for fear of passwords being stolen .
Fake ATM was spotted in hotel with a PC inside it .
Thumb drive with virus was passed around at conference ."
NEWS_0104,"Jennifer Lopez told Allure magazine that she'd fallen off her workout routine .
Now that she's gearing up with a new album, she's getting back to her old habits .
Lopez: Part of my business is being in shape and looking good ."
NEWS_0105,"Lead singer Steven Tyler fell off stage during South Dakota show last week .
He broke his shoulder and received stitches to his head; doctors advise rest .
Fall was second mishap for Tyler during Aerosmith's tour with ZZ Top .
Band says refunds will be issued for all canceled shows ."
NEWS_0106,"Microsoft researcher Gordon Bell argues we will soon have searchable memories .
Bell details his ideas in a new co-authored book called ""Total Recall""
Bell has been recording almost every detail of his life digitally for a decade ."
NEWS_0107,"Prisons official says ex-Atlanta Falcons quarterback left facility early Wednesday .
He'll serve last two months of sentence in home confinement, most likely in Virginia .
Vick's attorneys have said he'll work at construction firm; Vick has OK'd documentary .
Vick, 28, pleaded guilty in 2007 to bankrolling a dogfighting operation in Virginia ."
NEWS_0108,"A passenger's situation dictates the quickest way to get a cab .
Taxi Magic, an iPhone app, can help you catch a cab easily .
Taxis drive past you at night because they can't see you .
Leave sporting events before the end of the game to get a cab quicker ."
NEWS_0109,"No foreign language film has ever won the Oscar for best picture .
Sixty-five nations submitted foreign language films for consideration this year .
Best picture nominees expanded from five to 10, increasing chances for foreign films .
Film fan: ""Slumdog Millionaire"" wouldn't have won last year if it hadn't been in English ."
NEWS_0110,"""Desperate Housewives"" actress Eva Longoria Parker  gives peek into closet .
Says she has Christian Louboutin espadrille wedges in every color.
Her most-expensive item is a hot-pink crocodile Hermès Birkin bag ."
NEWS_0111,"""Whip It!"" marks Drew Barrymore's directorial debut .
Ellen Page plays woman who signs up for roller derby .
Film leans towards softness, which hurts impact of roller derby ."
NEWS_0112,"Tennis stars of past and present have turned their talents to land roles in films .
American ace John McEnroe has appeared in the credits for no less than six features .
1957 Wimbledon champion starred alongside screen icon John Wayne in a western .
Indian star Vijay Amritraj was talent spotted for a supporting part in Bond movie Octopussy ."
NEWS_0113,"Jackson fans converge on London's O2 Arena Monday for memorial .
Fan Gemma White: ""I feel like I've lost a brother, a lover and a friend""
Fan vigil timed to coincide with scheduled start date of Jackson's ""This Is It"" concerts .
Fans from U.S., Middle East and Europe were at Monday's tribute ."
NEWS_0114,"Purchases included crab cakes, beef Wellington, scallops for postmaster installation ceremony .
Report cites districts for buying $14,140 in movie tickets as employee incentives .
Purchases conflict with goal to cut costs after reporting $3.8 billion loss in 2009 fiscal year .
""It appears there is still work to be done in curtailing spending,"" agency's vice president says ."
NEWS_0115,"47-year-old British charity worker wows Simon Cowell with singing .
Clip of Susan Boyle singing has become a YouTube sensation .
Boyle, from West Lothian, Scotland, said she wanted to be a professional singer ."
NEWS_0116,"Rapper Soulja Boy arrested after allegedly running from police in Georgia .
Officers responded to a report of a large group gathered near a house .
Witnesses told police the group was filming a video .
Artist taken into custody after he returned to the scene to get his car, police say ."
NEWS_0117,"Singer-actress Mandy Moore engaged to rocker Ryan Adams .
Moore has had top 10 music success, better known for movie roles .
Adams a prolific singer-songwriter as soloist and with Whiskeytown, Cardinals ."
NEWS_0118,"John Mayer says he has a granuloma next to his vocal cords .
Granuloma is a small area of tissue inflammation .
Mayer's soon-to-be-released album ""Born and Raised"" will be delayed ."
NEWS_0119,"Culture minister condemns sexual tourism, denies he is a pedophile .
Frederic Mitterrand, in 2005 book, wrote of paying for sex with ""boys"" in Thailand .
Le Monde on Thursday published steamy excerpts from ""The Bad Life""
Mitterand came to the defense of Roman Polanski after the filmmaker's arrest ."
NEWS_0120,"Elizabeth Taylor and Debbie Rowe, Jackson's former wife, not attending memorial .
Musicians, famed athletes slated for Michael Jackson memorial .
Private gathering expected to be held at 8 a.m. PT Tuesday ."
